rule_left,rule_right,label
hospital(t0) ⋀ hospital(t1) ⋀  t0.Hospital_Owner = 'Government - Hospital District or Authority' ⋀  t0.State = t1.State ⋀  t0.County_Name = t1.County_Name ⋀  t0.Emergency_Service = t1.Emergency_Service ⋀  t0.Condition = t1.Condition ⋀  t0.Sample = t1.Sample  ->  t0.Hospital_Name = t1.Hospital_Name,hospital(t0) ⋀ hospital(t1) ⋀  t0.Hospital_Type = 'Critical Access Hospitals' ⋀  t0.State = t1.State ⋀  t0.County_Name = t1.County_Name ⋀  t0.Hospital_Owner = t1.Hospital_Owner ⋀  t0.Sample = t1.Sample  ->  t0.ZIP_Code = t1.ZIP_Code,1
hospital(t0) ⋀ hospital(t1) ⋀  t0.Emergency_Service = 'No' ⋀  t0.Hospital_Owner = 'Government - Hospital District or Authority' ⋀  t0.County_Name = t1.County_Name ⋀  t0.Sample = t1.Sample  ->  t0.City = t1.City,hospital(t0) ⋀ hospital(t1) ⋀  t0.Hospital_Owner = 'Government - Hospital District or Authority' ⋀  t0.State = t1.State ⋀  t0.County_Name = t1.County_Name ⋀  t0.Hospital_Type = t1.Hospital_Type ⋀  t0.Condition = t1.Condition ⋀  t0.Sample = t1.Sample  ->  t0.Hospital_Name = t1.Hospital_Name,0
hospital(t0) ⋀ hospital(t1) ⋀  t0.Hospital_Type = 'Critical Access Hospitals' ⋀  t0.Hospital_Owner = 'Voluntary non-profit - Other' ⋀  t1.Condition = 'Heart Attack' ⋀  t0.County_Name = t1.County_Name ⋀  t0.Sample = t1.Sample  ->  t0.City = t1.City,hospital(t0) ⋀ hospital(t1) ⋀  t0.Hospital_Owner = 'Government - Hospital District or Authority' ⋀  t0.State = t1.State ⋀  t0.County_Name = t1.County_Name ⋀  t0.Hospital_Type = t1.Hospital_Type ⋀  t0.Emergency_Service = t1.Emergency_Service ⋀  t0.Sample = t1.Sample  ->  t0.Hospital_Name = t1.Hospital_Name,1
hospital(t0) ⋀ hospital(t1) ⋀  t0.Hospital_Type = 'Critical Access Hospitals' ⋀  t0.Hospital_Owner = 'Voluntary non-profit - Other' ⋀  t0.County_Name = t1.County_Name ⋀  t0.Hospital_Type = t1.Hospital_Type ⋀  t0.Condition = t1.Condition ⋀  t0.Sample = t1.Sample  ->  t0.Provider_Number = t1.Provider_Number,hospital(t0) ⋀ hospital(t1) ⋀  t0.County_Name = t1.County_Name ⋀  t0.Measure_Code = t1.Measure_Code ⋀  t0.Sample = t1.Sample  ->  t1.Condition = 'Heart Failure',1
hospital(t0) ⋀ hospital(t1) ⋀  t1.Hospital_Type = 'Acute Care Hospitals' ⋀  t0.Hospital_Owner = 'Government - Hospital District or Authority' ⋀  t0.County_Name = t1.County_Name ⋀  t0.Sample = t1.Sample  ->  t1.State = 'TX',hospital(t0) ⋀ hospital(t1) ⋀  t0.County_Name = t1.County_Name ⋀  t0.Sample = t1.Sample ⋀  t0.StateAvg = t1.StateAvg  ->  t1.Condition = 'Surgical Infection Prevention',1
hospital(t0) ⋀ hospital(t1) ⋀  t1.Condition = 'Surgical Infection Prevention' ⋀  t0.Hospital_Type = 'Critical Access Hospitals' ⋀  t0.State = t1.State ⋀  t0.County_Name = t1.County_Name ⋀  t0.Sample = t1.Sample  ->  t0.ZIP_Code = t1.ZIP_Code,hospital(t0) ⋀ hospital(t1) ⋀  t0.ZIP_Code = t1.ZIP_Code ⋀  t0.StateAvg = t1.StateAvg  ->  t1.Condition = 'Heart Attack',1
hospital(t0) ⋀ hospital(t1) ⋀  t1.Condition = 'Surgical Infection Prevention' ⋀  t0.Hospital_Type = 'Critical Access Hospitals' ⋀  t0.County_Name = t1.County_Name ⋀  t0.Hospital_Owner = t1.Hospital_Owner ⋀  t0.Sample = t1.Sample  ->  t0.Provider_Number = t1.Provider_Number,hospital(t0) ⋀ hospital(t1) ⋀  t0.City = t1.City ⋀  t0.StateAvg = t1.StateAvg  ->  t1.Condition = 'Heart Attack',1
hospital(t0) ⋀ hospital(t1) ⋀  t0.Hospital_Type = 'Critical Access Hospitals' ⋀  t0.Hospital_Owner = 'Voluntary non-profit - Other' ⋀  t0.County_Name = t1.County_Name ⋀  t0.Condition = t1.Condition ⋀  t0.Sample = t1.Sample  ->  t0.Phone_Number = t1.Phone_Number,hospital(t0) ⋀ hospital(t1) ⋀  t0.Hospital_Type = 'Critical Access Hospitals' ⋀  t0.Emergency_Service = 'No' ⋀  t0.County_Name = t1.County_Name ⋀  t0.Sample = t1.Sample  ->  t0.ZIP_Code = t1.ZIP_Code,1
hospital(t0) ⋀ hospital(t1) ⋀  t0.Hospital_Type = 'Critical Access Hospitals' ⋀  t0.State = t1.State ⋀  t0.County_Name = t1.County_Name ⋀  t0.Condition = t1.Condition ⋀  t0.Sample = t1.Sample  ->  t0.Phone_Number = t1.Phone_Number,hospital(t0) ⋀ hospital(t1) ⋀  t0.County_Name = t1.County_Name ⋀  t0.Measure_Code = t1.Measure_Code ⋀  t0.Sample = t1.Sample  ->  t1.Condition = 'Surgical Infection Prevention',1
hospital(t0) ⋀ hospital(t1) ⋀  t0.Hospital_Type = 'Critical Access Hospitals' ⋀  t0.State = t1.State ⋀  t0.County_Name = t1.County_Name ⋀  t0.Emergency_Service = t1.Emergency_Service ⋀  t0.Sample = t1.Sample  ->  t1.Hospital_Owner = 'Voluntary non-profit - Church',hospital(t0) ⋀ hospital(t1) ⋀  t0.County_Name = t1.County_Name ⋀  t0.Sample = t1.Sample  ->  t1.State = 'CA',1
